類別,計費方式,設置地點,設置地址
公共充電站,免費,鳥松區公所,高雄市鳥松區中正路98號
公共充電站,投幣式,澄峰大廈,高雄市鳥松區明湖路1號
公共充電站,免費,好市多購物中心-中華店,高雄市前鎮區中華五路656號(機車停車場)
公共充電站,免費,統一夢時代購物中心,高雄市前鎮區中華五路789號(B1MC07區機車停車場)
公共充電站,免費,瑞祥高級中學,高雄市前鎮區班超路63號(警衛室後方機車停車棚)
公共充電站,免費,躍揚車業行三多分店,高雄市前鎮區三多二路367號
公共充電站,免費,駿揚電動車,高雄市前鎮區武營路195號
公共充電站,免費,本欣電動車,高雄市前鎮區崗山西街279號
公共充電站,免費,前鎮區公所,高雄市前鎮區康定路151號2樓
公共充電站,投幣式,美的皇家大樓,高雄市前鎮區林森三路156號
公共充電站,投幣式,太普moma大樓,高雄市前鎮區管仲南路362號
公共充電站,免費,勝翔車業,高雄市岡山區岡山路192號
公共充電站,免費,義贊電動車,高雄市岡山區岡山路208號
公共充電站,免費,私立義守大學(校本部),高雄市大樹區學城路一段1號(汽車停車場警衛室旁)
公共充電站,免費,耿昌機車行,高雄市新興區青年一路458號
公共充電站,免費,亨旺機車行-(公共免費),高雄市三民區大豐二路362號
公共充電站,免費,富翔機車有限公司(原富鼎),高雄市前鎮區瑞祥街138號
公共充電站,投幣式,京城CBD大樓,高雄市中華一路820號(地下停車場)
公共充電站,免費,大東藝術中心,高雄市鳳山區光遠路161號
公共充電站,投幣式,鎮北里活動中心,高雄市鳳山區鎮北街102號
公共充電站,投幣式,緯城世界觀大樓,高雄市鳳山區西湖街107號
公共充電站,投幣式,東方瑞士大樓,高雄市三民區大豐一路111-3號
公共充電站,投幣式,岡山鐵馬,高雄市岡山區平和路31號
公共充電站,投幣式,竺輪車業,高雄市岡山區中山北路98號
公共充電站,投幣式,三元機車行,高雄市大寮區義和村鳳屏二路294號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號(面對大門左手邊機車停車場)
公共充電站,投幣式,信華車業行,高雄市楠梓區益群路26號
公共充電站,投幣式,義興機車行,高雄市三民區瀋陽街122號
公共充電站,投幣式,國順機車行,高雄市三民區興隆街42-1號
公共充電站,投幣式,順士輪業有限公司,高雄市新興區林森一路27號
公共充電站,投幣式,誠峰輪業有限公司,高雄市新興區和平一路263號
公共充電站,投幣式,明光機車行,高雄市鼓山區鼓山三路8-24號
公共充電站,投幣式,富貴祥發大樓,高雄市鳳山區文衡路269號
公共充電站,投幣式,南成機車行,高雄市苓雅區福安路467號
公共充電站,投幣式,單車休息站,高雄市鹽埕區七賢三路1號
公共充電站,投幣式,登山里里長服務處,高雄市鼓山區鼓山一路87號
公共充電站,投幣式,永盛花園廣場大樓,高雄市岡山區竹圍東街203-1號
公共充電站,投幣式,全陽機車行,高雄市三民區明誠一路372號
公共充電站,投幣式,東晉機車行,高雄市新興區民族二路64號
公共充電站,投幣式,先發機車行,高雄市苓雅區英明路273號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號
公共充電站,投幣式,高雄師範大學,高雄市苓雅區和平一路116號
公共充電站,投幣式,甲駿機車材料行,高雄市前鎮區瑞和街220號
公共充電站,投幣式,上揚機車行,高雄市楠梓區常德路273號
公共充電站,投幣式,竹輪車業,高雄市楠梓區加昌路343號
公共充電站,投幣式,高雄師範大學,高雄市燕巢區深中路62號
公共充電站,投幣式,高雄女子高級中學(不對外開放),高雄市前金區五福三路122號
公共充電站,投幣式,高雄女子高級中學(不對外開放),高雄市前金區五福三路122號
公共充電站,投幣式,高雄師範大學,高雄市燕巢區深中路62號
公共充電站,投幣式,泛亞車業,高雄市鼓山區華榮路585號
公共充電站,投幣式,湖山春曉社區,高雄市鳳山區八德路二段147號
公共充電站,投幣式,新大機車行,高雄市三民區鼎中路52號
公共充電站,免費,高雄第一科技大學,高雄市楠梓區卓越路2號
公共充電站,投幣式,皇苑逸品苑,高雄市鼓山區美術北三路100號
